,country,year,coal_electricity,gas_electricity,nuclear_electricity,oil_electricity,solar_electricity,wind_electricity,growth_gdp
0,Argentina,1990,0.66,19.85,7.281,4.944,0.0,0.0,1.0
1,Argentina,1991,0.926,20.967,7.756,7.619,0.0,0.0,1.1101302831870992
2,Argentina,1992,0.834,20.795,7.081,7.661,0.0,0.0,1.2300468230142296
3,Argentina,1993,1.18,21.994,7.75,6.693,0.0,0.0,1.312999831203058
4,Argentina,1994,2.348,22.719,8.235,4.557,0.0,0.0,1.39608894099507
5,Argentina,1995,1.908,26.501,7.066,4.585,0.0,0.0,1.3626551517165295
6,Argentina,1996,1.917,32.545,7.459,4.624,0.0,0.01,1.4447373804939414
7,Argentina,1997,1.896,32.188,7.961,2.042,0.0,0.015,1.5690763034727189
8,Argentina,1998,1.808,34.263,7.453,3.81,0.0,0.033,1.6370925718221316
9,Argentina,1999,2.106,45.732,7.106,3.831,0.0,0.035,1.5889851531239767
10,Argentina,2000,1.67,45.76,5.99,2.94,0.0,0.04,1.5837024375922881
11,Argentina,2001,1.27,40.29,6.54,1.37,0.0,0.05,1.520943250854988
12,Argentina,2002,0.76,38.13,5.39,0.81,0.0,0.07,1.3614814083952538
13,Argentina,2003,0.88,44.87,7.03,0.99,0.0,0.08,1.4887064205229996
14,Argentina,2004,1.58,51.92,7.31,3.86,0.0,0.07,1.63062992213576
15,Argentina,2005,2.05,52.39,6.37,5.45,0.0,0.08,1.783212878094268
16,Argentina,2006,1.96,55.57,7.15,8.06,0.0,0.07,1.9356362266289993
17,Argentina,2007,2.31,59.4,6.72,11.26,0.0,0.06,2.1197997845783436
18,Argentina,2008,1.81,61.08,6.85,13.74,0.0,0.04,2.215973607703331
19,Argentina,2009,1.66,58.33,7.59,14.03,0.0,0.04,2.0945334457356526
20,Argentina,2010,2.82,59.69,6.69,16.09,0.0,0.03,2.3172947218792275
21,Argentina,2011,2.72,63.35,5.89,18.4,0.0,0.06,2.4678010401567443
22,Argentina,2012,2.46,71.02,5.9,18.41,0.01,0.82,2.4425149680325675
23,Argentina,2013,2.21,69.51,5.73,19.9,0.01,1.01,2.501261140477265
24,Argentina,2014,2.38,71.28,5.26,18.52,0.02,0.62,2.4383133267845922
25,Argentina,2015,2.23,73.99,6.64,21.0,0.01,0.59,2.502884299611187
26,Argentina,2016,1.81,79.06,7.82,19.89,0.01,0.54,2.44537300496766
27,Argentina,2017,1.89,85.6,5.77,11.85,0.02,0.61,2.510640059625464
28,Argentina,2018,1.91,89.69,6.51,6.87,0.11,1.4,2.448326032502843
29,Australia,1990,123.363,12.566,0.0,3.474,0.0,0.0,1.0
30,Australia,1991,127.222,11.203,0.0,2.879,0.005,0.0,0.9932502960783518
31,Australia,1992,130.002,11.964,0.0,2.391,0.012,0.0,1.029531446080205
32,Australia,1993,133.277,12.247,0.0,2.371,0.015,0.002,1.079080153837193
