,country,year,gdp,electricity_demand,electricity_generation,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,low_carbon_electricity,nuclear_electricity,oil_electricity,renewables_electricity,solar_electricity,wind_electricity
729,Algeria,2000,208.55414784,23.82,23.89,0.0,0.0,23.84,23.11,0.05,0.05,0.0,0.73,0.05,0.0,0.0
730,Algeria,2001,223.420301312,24.98,25.03,0.0,0.0,24.96,24.23,0.07,0.07,0.0,0.73,0.07,0.0,0.0
731,Algeria,2002,245.36088576,25.97,25.99,0.0,0.0,25.93,25.37,0.06,0.06,0.0,0.56,0.06,0.0,0.0
732,Algeria,2003,273.56864512,27.82,27.81,0.0,0.0,27.55,26.9,0.26,0.26,0.0,0.65,0.26,0.0,0.0
733,Algeria,2004,296.773615616,29.4,29.39,0.0,0.0,29.14,28.49,0.25,0.25,0.0,0.65,0.25,0.0,0.0
734,Algeria,2005,326.854475776,31.99,31.91,0.0,0.0,31.36,30.66,0.55,0.55,0.0,0.7,0.55,0.0,0.0
735,Algeria,2006,345.70534912,33.21,33.13,0.0,0.0,32.91,32.2,0.22,0.22,0.0,0.71,0.22,0.0,0.0
736,Algeria,2007,371.665207296,34.99,34.98,0.0,0.0,34.76,34.01,0.22,0.22,0.0,0.75,0.22,0.0,0.0
737,Algeria,2008,395.658559488,37.78,37.83,0.0,0.0,37.55,36.81,0.28,0.28,0.0,0.74,0.28,0.0,0.0
738,Algeria,2009,418.247671808,36.17,36.2,0.0,0.0,35.9,35.33,0.3,0.3,0.0,0.57,0.3,0.0,0.0
739,Algeria,2010,450.705883136,42.93,43.0,0.0,0.0,42.83,41.92,0.17,0.17,0.0,0.91,0.17,0.0,0.0
740,Algeria,2011,482.034778112,48.03,48.17,0.0,0.0,47.67,46.67,0.5,0.5,0.0,1.0,0.5,0.0,0.0
741,Algeria,2012,497.92335872,53.94,53.99,0.0,0.0,53.37,52.37,0.62,0.62,0.0,1.0,0.62,0.0,0.0
742,Algeria,2013,511.887736832,56.23,56.32,0.0,0.0,55.99,55.14,0.33,0.33,0.0,0.85,0.33,0.0,0.0
743,Algeria,2014,531.308085248,60.21,60.4,0.0,0.0,60.15,59.55,0.25,0.25,0.0,0.6,0.25,0.0,0.0
744,Algeria,2015,551.519125504,64.65,64.68,0.0,0.0,64.46,63.61,0.14,0.22,0.0,0.85,0.22,0.06,0.02
745,Algeria,2016,574.696128512,66.51,66.76,0.0,0.0,66.42,65.57,0.22,0.34,0.0,0.85,0.34,0.09,0.03
746,Algeria,2017,582.167232512,71.16,71.5,0.0,0.0,70.86,69.94,0.06,0.64,0.0,0.92,0.64,0.57,0.01
747,Algeria,2018,590.317551616,72.02,72.11,0.0,0.0,71.33,70.4,0.12,0.78,0.0,0.93,0.78,0.65,0.01
1101,Argentina,2000,536.481038336,86.47,85.25,0.36,1.67,50.37,45.76,28.49,34.88,5.99,2.94,28.89,0.0,0.04
1102,Argentina,2001,515.221291008,88.27,86.51,0.34,1.27,42.93,40.29,36.65,43.58,6.54,1.37,37.04,0.0,0.05
1103,Argentina,2002,461.203406848,86.99,81.15,0.5,0.76,39.7,38.13,35.49,41.45,5.39,0.81,36.06,0.0,0.07
1104,Argentina,2003,504.301027328,93.18,88.15,0.83,0.88,46.74,44.87,33.47,41.41,7.03,0.99,34.38,0.0,0.08
1105,Argentina,2004,552.377778176,99.17,95.7,0.82,1.58,57.36,51.92,30.14,38.34,7.31,3.86,31.03,0.0,0.07
1106,Argentina,2005,604.065431552,104.74,100.86,0.86,2.05,59.89,52.39,33.66,40.97,6.37,5.45,34.6,0.0,0.08
1107,Argentina,2006,655.699017728,113.77,111.41,1.03,1.96,65.59,55.57,37.57,45.82,7.15,8.06,38.67,0.0,0.07
1108,Argentina,2007,718.084636672,118.47,110.87,1.06,2.31,72.97,59.4,30.06,37.9,6.72,11.26,31.18,0.0,0.06
1109,Argentina,2008,750.663630848,120.24,114.76,1.13,1.81,76.63,61.08,30.11,38.13,6.85,13.74,31.28,0.0,0.04
1110,Argentina,2009,709.525635072,122.46,116.3,1.12,1.66,74.02,58.33,33.53,42.28,7.59,14.03,34.69,0.0,0.04
1111,Argentina,2010,784.98627584,128.23,119.63,1.29,2.82,78.6,59.69,33.02,41.03,6.69,16.09,34.34,0.0,0.03
1112,Argentina,2011,835.970465792,132.42,122.75,1.3,2.72,84.47,63.35,31.03,38.28,5.89,18.4,32.39,0.0,0.06
1113,Argentina,2012,827.40477952,136.29,128.68,1.35,2.46,91.89,71.02,28.71,36.79,5.9,18.41,30.89,0.01,0.82
1114,Argentina,2013,847.3051136,140.1,132.3,1.42,2.21,91.62,69.51,32.51,40.68,5.73,19.9,34.95,0.01,1.01
1115,Argentina,2014,825.981468672,141.66,131.8,1.39,2.38,92.18,71.28,32.33,39.62,5.26,18.52,34.36,0.02,0.62
1116,Argentina,2015,847.85496064,146.75,137.79,1.39,2.23,97.22,73.99,31.94,40.57,6.64,21.0,33.93,0.01,0.59
1117,Argentina,2016,828.372942848,149.15,139.63,1.1,1.81,100.76,79.06,29.4,38.87,7.82,19.89,31.05,0.01,0.54
1118,Argentina,2017,850.482233344,149.03,138.57,1.37,1.89,99.34,85.6,31.46,39.23,5.77,11.85,33.46,0.02,0.61
1119,Argentina,2018,829.373284352,149.34,139.78,1.33,1.91,98.47,89.69,31.96,41.31,6.51,6.87,34.8,0.11,1.4
1653,Australia,2000,691.886620672,216.83,216.83,0.89,180.26,199.29,16.76,16.47,17.54,0.0,2.27,17.54,0.05,0.13
1654,Australia,2001,713.62576384,224.26,224.26,0.8,179.88,207.0,24.5,16.12,17.26,0.0,2.62,17.26,0.05,0.29
1655,Australia,2002,746.683498496,223.49,223.49,1.27,171.86,205.54,30.55,16.09,17.95,0.0,3.13,17.95,0.06,0.53
1656,Australia,2003,773.868617728,225.95,225.95,1.69,173.61,207.29,30.15,16.21,18.66,0.0,3.53,18.66,0.06,0.7
1657,Australia,2004,809.41973504,229.23,229.23,2.82,178.96,209.85,27.36,15.69,19.38,0.0,3.53,19.38,0.07,0.8
1658,Australia,2005,840.55457792,230.74,230.74,3.87,182.98,210.02,23.26,15.47,20.72,0.0,3.78,20.72,0.08,1.3
1659,Australia,2006,868.838998016,237.99,237.99,3.93,185.76,216.85,27.29,14.95,21.14,0.0,3.8,21.14,0.1,2.16
1660,Australia,2007,913.875861504,243.19,243.19,4.28,185.49,222.9,33.4,13.05,20.29,0.0,4.01,20.29,0.11,2.85
1661,Australia,2008,942.108901376,245.38,245.38,3.7,184.24,226.26,36.31,11.82,19.12,0.0,5.71,19.12,0.14,3.46
1662,Australia,2009,964.937515008,249.9,249.9,2.79,182.02,229.74,41.12,12.64,20.16,0.0,6.6,20.16,0.29,4.44
1663,Australia,2010,994.06774272,250.97,250.97,2.44,176.02,228.81,46.79,13.75,22.16,0.0,6.0,22.16,0.98,4.99
1664,Australia,2011,1026.035417088,256.28,256.28,2.57,171.98,225.67,48.78,19.57,30.61,0.0,4.91,30.61,2.04,6.43
